Id,Date,Text,Combined
2,10.27.2023,A true friend reaches for you hand… and puts a margarita in it,10.27.2023  A true friend reaches for you hand… and puts a margarita in it
3,10.26.2023,Has anyone actually ever been surveyed by Family Feud,10.26.2023  Has anyone actually ever been surveyed by Family Feud
4,10.25.2023,Not saying you’re old but if you were wine you’d be really expensive,10.25.2023  Not saying you’re old but if you were wine you’d be really expensive
5,10.24.2023,"If you don’t pay your exorcist, do you get repossessed","10.24.2023  If you don’t pay your exorcist, do you get repossessed"
6,10.23.2023,The most important part of not liking candy corn is telling people,10.23.2023  The most important part of not liking candy corn is telling people
7,10.20.2023,"I start each day with a green smoothie, bartenders call it a margarita, whatever","10.20.2023  I start each day with a green smoothie, bartenders call it a margarita, whatever"
8,10.19.2023,Peecrastination: Not wanting to get out of bed to go to the bathroom,10.19.2023  Peecrastination: Not wanting to get out of bed to go to the bathroom
9,10.18.2023,When I tell my kids “in a minute” what I really mean is “please forget”,10.18.2023  When I tell my kids “in a minute” what I really mean is “please forget”
10,10.17.2023,Enjoy your 20s cause when you turn 30 your check knees light comes on,10.17.2023  Enjoy your 20s cause when you turn 30 your check knees light comes on
11,10.16.2023,"The best conversations happen over chips, salsa & a margarita","10.16.2023  The best conversations happen over chips, salsa & a margarita"
12,10.13.2023,Gone to ACL Fest… Follow along @elarroyo_ATX,10.13.2023  Gone to ACL Fest… Follow along @elarroyo_ATX
13,10.12.2023,Win a brand new Jeep – Feed Austin area kids in need! Enter at achristmasaffair.org,10.12.2023  Win a brand new Jeep – Feed Austin area kids in need! Enter at achristmasaffair.org
14,10.11.2023,Slug (Love) Bug! Jonas Brothers: Moody Center 10.22,10.11.2023  Slug (Love) Bug! Jonas Brothers: Moody Center 10.22
15,10.10.2023,"Idk what dog needs to hear this, but just bc it crinkles doesn’t mean it’s your snack","10.10.2023  Idk what dog needs to hear this, but just bc it crinkles doesn’t mean it’s your snack"
16,10.9.2023,Life happens tequila helps,10.9.2023  Life happens tequila helps
